ParkirDepan; [Parkir Depan, imagepath]
LabICT; [Parkir Depan, imagepath]
Pertigaan; [Pertigaan, imagepath]
BAAK; [Ruang BAAK, imagepath]
KolamIkan; [Kolam Ikan, imagepath]
GedungA; [Gedung A, imagepath]
GedungALantai3; [Gedung A, Lantai 3, imagepath]
LabDigital; [Lab Digital, imagepath]
Lab1A; [Lab 1 A, imagepath]
Lab2A; [Lab 2 A, imagepath]
GedungGSG; [Gedung GSG, imagepath]
GedungGSGLantai3; [Gedung GSG, Lantai 3, imagepath]
Lab1GSG; [Lab 1 GSG, imagepath]
Lab2GSG; [Lab 2 GSG, imagepath]
GedungGSGLantai4; [Gedung GSG, Lantai 4, imagepath]
Lab3GSG; [Lab 3 GSG, imagepath]
Lab4GSG; [Lab 4 GSG, imagepath]
